round_id,player_id,dealer_upcard,dealer_hand_value,hand_start_value,hand_final_value,hand_result,actions,cards,bet,profit/loss
1,0,10,20,9,18,Loss,HHS,"[5, 4, 5, 4]",1,-1
2,0,5,17,15,15,Loss,HHHS,"[3, 2, 2, 'A', 7]",1,-1
3,0,10,20,8,18,Loss,HS,"[2, 6, 10]",1,-1
4,0,4,19,14,14,Loss,S,"[10, 4]",1,-1
5,0,3,20,21,12,Loss,D,"[2, 9, 'A']",2,-2
6,0,5,17,17,17,Push,S,"[7, 'K']",1,0
7,0,10,23,13,17,Win,HS,"[3, 'Q', 4]",1,1
8,0,6,22,12,12,Win,S,"['J', 2]",1,1
9,0,10,21,21,21,Push,,"['A', 'Q']",1,0
10,0,7,17,14,25,Bust,HH,"[9, 5, 'A', 'J']",1,-1
11,0,8,18,15,25,Bust,H,"[5, 'J', 'Q']",1,-1
12,0,10,20,15,25,Bust,H,"[8, 7, 'Q']",1,-1
13,0,6,22,16,19,Win,HHS,"[2, 4, 'A', 2]",1,1
14,0,10,26,13,21,Win,HS,"[3, 'J', 8]",1,1
15,0,10,20,20,20,Push,S,"['K', 10]",1,0
16,0,8,10,15,25,Bust,H,"['J', 5, 'Q']",1,-1
17,0,7,17,20,20,Win,S,"['K', 'K']",1,1
18,0,1,21,15,19,Loss,HS,"['Q', 5, 4]",1,-1
19,0,10,17,8,18,Win,HS,"[5, 3, 'Q']",1,1
20,0,6,19,13,13,Loss,S,"[3, 'J']",1,-1
21,0,6,21,17,17,Loss,S,"[9, 8]",1,-1
22,0,5,23,16,16,Win,S,"[6, 'J']",1,1
23,0,3,21,16,16,Loss,S,"[10, 6]",1,-1
24,0,2,19,8,18,Loss,HS,"[6, 2, 10]",1,-1
25,0,10,20,14,21,Win,HS,"['A', 3, 7]",1,1
26,0,1,21,12,20,Loss,HS,"[4, 8, 8]",1,-1
27,0,6,19,19,19,Push,S,"[9, 'J']",1,0
28,0,7,24,20,20,Win,S,"['Q', 'K']",1,1
29,0,10,24,18,18,Win,HHS,"[7, 'A', 8, 2]",1,1
30,0,3,25,14,14,Win,S,"[10, 4]",1,1
31,0,4,17,18,18,Win,D,"[7, 'A', 'J']",2,2
32,0,6,18,16,16,Loss,S,"[6, 'K']",1,-1
33,0,6,18,20,20,Win,S,"[10, 'K']",1,1
