round_id,hand_no,player_id,dealer_upcard,dealer_hand_value,hand_start_value,hand_final_value,hand_result,actions,cards,bet,profit/loss,balance
1,,0,2,24,11,21,Win,PD,"[8, 3, 10]",2,2,
1,,0,2,24,11,21,Win,D,"[8, 3, 10]",2,2,
1,,1,2,24,14,14,Win,S,"['Q', 4]",1,1,
1,,2,2,24,10,20,Win,HS,"[4, 6, 10]",1,1,
2,,0,10,18,17,17,Loss,S,"['J', 7]",1,-1,
2,,1,10,18,10,18,Push,HS,"[8, 2, 8]",1,0,
2,,2,10,18,14,24,Bust,H,"[7, 7, 'J']",1,-1,
3,,0,2,22,20,20,Win,S,"['J', 'K']",1,1,
3,,1,2,22,21,21,Blackjack,,"['A', 'J']",1,1.5,
3,,2,2,22,17,17,Win,S,"['Q', 7]",1,1,
4,,0,10,20,15,22,Bust,H,"[9, 6, 7]",1,-1,
4,,1,10,20,12,19,Loss,HS,"[9, 3, 7]",1,-1,
4,,2,10,20,19,19,Loss,S,"['A', 8]",1,-1,
5,,0,10,19,20,20,Win,S,"['K', 'K']",1,1,
5,,1,10,19,15,25,Bust,H,"[5, 'J', 'J']",1,-1,
5,,2,10,19,20,20,Win,S,"['Q', 'Q']",1,1,
6,,0,2,17,11,21,Win,D,"[6, 5, 'K']",2,2,
6,,1,2,17,19,19,Win,S,"[9, 'Q']",1,1,
6,,2,2,17,15,14,Loss,HS,"[4, 'A', 9]",1,-1,
7,,0,1,20,13,21,Win,HS,"[4, 9, 8]",1,1,
7,,1,1,20,16,25,Bust,H,"[6, 10, 9]",1,-1,
7,,2,1,20,8,18,Loss,HS,"[5, 3, 10]",1,-1,
8,,0,10,17,16,26,Bust,H,"[10, 6, 'Q']",1,-1,
8,,1,10,17,17,17,Push,S,"[9, 8]",1,0,
8,,2,10,17,16,19,Win,HS,"[6, 'K', 3]",1,1,
9,,0,4,20,13,13,Loss,HS,"[2, 'A', 10]",1,-1,
9,,1,4,20,18,18,Loss,S,"['K', 8]",1,-1,
9,,2,4,20,12,12,Loss,PS,"[4, 8]",1,-1,
9,,2,4,20,17,17,Loss,HHS,"[4, 3, 'A', 9]",1,-1,
10,,0,3,23,11,21,Win,D,"[5, 6, 10]",2,2,
10,,1,3,23,11,14,Win,D,"[5, 6, 3]",2,2,
10,,2,3,23,21,21,Blackjack,,"['A', 'Q']",1,1.5,
11,,0,8,21,8,24,Bust,HH,"[3, 5, 'J', 6]",1,-1,
11,,1,8,21,21,21,Push,,"['J', 'A']",1,0,
11,,2,8,21,14,19,Loss,HHHHS,"[5, 9, 'A', 'A', 2, 'A']",1,-1,
12,,0,9,21,12,18,Loss,HS,"[3, 9, 6]",1,-1,
12,,1,9,21,18,18,Loss,S,"['J', 8]",1,-1,
12,,2,9,21,12,22,Bust,H,"[5, 7, 'K']",1,-1,
13,,0,7,18,20,20,Win,S,"['Q', 'Q']",1,1,
13,,1,7,18,16,23,Bust,H,"[6, 'J', 7]",1,-1,
13,,2,7,18,15,23,Bust,H,"[5, 'J', 8]",1,-1,
14,,0,3,20,14,14,Loss,PS,"[4, 10]",1,-1,
14,,0,3,20,9,18,Loss,D,"[4, 5, 9]",2,-2,
14,,1,3,20,8,18,Loss,HS,"[2, 6, 'Q']",1,-1,
14,,2,3,20,10,20,Push,PD,"[8, 2, 'Q']",2,0,
14,,2,3,20,18,18,Loss,S,"[8, 'K']",1,-1,
15,,0,9,19,17,17,Loss,S,"[7, 'J']",1,-1,
15,,1,9,19,19,19,Push,S,"[9, 'K']",1,0,
15,,2,9,19,12,18,Loss,HHS,"['A', 'A', 'J', 6]",1,-1,
16,,0,9,19,12,22,Bust,H,"[2, 'J', 'J']",1,-1,
16,,1,9,19,21,21,Blackjack,,"['A', 'J']",1,1.5,
16,,2,9,19,19,19,Push,S,"['K', 9]",1,0,
17,,0,8,18,20,20,Win,S,"[10, 'Q']",1,1,
17,,1,8,18,13,20,Win,HS,"[10, 3, 7]",1,1,
17,,2,8,18,19,19,Win,S,"['K', 9]",1,1,
18,,0,10,20,19,19,Loss,S,"['Q', 9]",1,-1,
18,,1,10,20,7,17,Loss,HHS,"[3, 4, 7, 3]",1,-1,
18,,2,10,20,7,22,Bust,HH,"[2, 5, 5, 'Q']",1,-1,
19,,0,10,21,18,18,Loss,S,"[10, 8]",1,-1,
19,,1,10,21,20,20,Loss,S,"[10, 'J']",1,-1,
19,,2,10,21,9,20,Loss,HHS,"[4, 5, 6, 5]",1,-1,
20,,0,10,18,20,20,Win,S,"['Q', 'K']",1,1,
20,,1,10,18,13,23,Bust,H,"[3, 10, 'K']",1,-1,
20,,2,10,18,12,22,Bust,H,"[2, 'K', 'K']",1,-1,
21,,0,4,20,15,15,Loss,S,"[5, 10]",1,-1,
21,,1,4,20,13,13,Loss,HS,"[2, 'A', 'K']",1,-1,
21,,2,4,20,15,15,Loss,S,"[6, 9]",1,-1,
22,,0,7,17,17,17,Push,S,"[8, 9]",1,0,
22,,1,7,17,15,18,Win,HS,"[8, 7, 3]",1,1,
22,,2,7,17,7,17,Push,PHHS,"[2, 5, 5, 5]",1,0,
22,,2,7,17,12,22,Bust,H,"[2, 10, 10]",1,-1,
23,,0,7,17,8,17,Push,HS,"[2, 6, 9]",1,0,
23,,1,7,17,7,23,Bust,HHH,"[3, 4, 5, 3, 8]",1,-1,
23,,2,7,17,17,17,Push,S,"[7, 'Q']",1,0,
24,,0,9,18,12,21,Win,HHS,"[10, 2, 'A', 8]",1,1,
24,,1,9,18,15,21,Win,HS,"[8, 7, 6]",1,1,
24,,2,9,18,11,18,Push,D,"[9, 2, 7]",2,0,
25,,0,3,19,15,15,Loss,S,"[7, 8]",1,-1,
25,,1,3,19,16,15,Loss,HS,"['A', 5, 9]",1,-1,
25,,2,3,19,16,16,Loss,S,"['J', 6]",1,-1,
26,,0,1,20,15,17,Loss,HHS,"['A', 4, 2, 'K']",1,-1,
26,,1,1,20,9,19,Loss,HS,"[6, 3, 'Q']",1,-1,
26,,2,1,20,6,24,Bust,HH,"[3, 3, 10, 8]",1,-1,
27,,0,5,24,16,20,Win,PHHS,"[4, 2, 'A', 3]",1,1,
27,,0,5,24,7,15,Win,HS,"[4, 3, 8]",1,1,
27,,1,5,24,21,21,Blackjack,,"['K', 'A']",1,1.5,
27,,2,5,24,14,14,Win,S,"[8, 6]",1,1,
28,,0,4,24,19,19,Win,S,"[9, 'K']",1,1,
28,,1,4,24,16,16,Win,S,"['Q', 6]",1,1,
28,,2,4,24,16,16,Win,S,"[6, 'J']",1,1,
29,,0,4,22,15,15,Win,S,"[5, 'Q']",1,1,
29,,1,4,22,20,20,Win,S,"['K', 'K']",1,1,
29,,2,4,22,20,20,Win,S,"['Q', 'J']",1,1,
30,,0,4,25,19,19,Win,S,"['J', 9]",1,1,
30,,1,4,25,13,12,Win,HS,"[2, 'A', 9]",1,1,
30,,2,4,25,13,15,Win,HHS,"['A', 2, 3, 9]",1,1,
31,,0,5,20,13,13,Loss,S,"[8, 5]",1,-1,
31,,1,5,20,20,20,Push,S,"[10, 'J']",1,0,
31,,2,5,20,13,13,Loss,S,"[4, 9]",1,-1,
32,,0,10,19,14,24,Bust,H,"[9, 5, 'Q']",1,-1,
32,,1,10,19,9,23,Bust,HH,"[5, 4, 7, 7]",1,-1,
32,,2,10,19,15,19,Push,HS,"['J', 5, 4]",1,0,
33,,0,10,19,20,20,Win,S,"['Q', 10]",1,1,
33,,1,10,19,12,23,Bust,HH,"[8, 4, 'A', 'K']",1,-1,
33,,2,10,19,19,19,Push,S,"[8, 'A']",1,0,
34,,0,2,21,16,16,Loss,S,"['K', 6]",1,-1,
34,,1,2,21,17,17,Loss,S,"[7, 'Q']",1,-1,
34,,2,2,21,21,21,Push,,"[10, 'A']",1,0,
35,,0,2,19,13,21,Win,HS,"[2, 'A', 8]",1,1,
35,,1,2,19,20,20,Win,S,"['J', 'K']",1,1,
35,,2,2,19,17,17,Loss,S,"['J', 7]",1,-1,
36,,0,4,17,14,14,Loss,PS,"[4, 10]",1,-1,
36,,0,4,17,14,14,Loss,S,"[4, 'K']",1,-1,
36,,1,4,17,14,20,Win,HS,"['A', 3, 6]",1,1,
36,,2,4,17,20,20,Win,S,"['J', 10]",1,1,
37,,0,7,18,6,19,Win,HHS,"[4, 2, 5, 8]",1,1,
37,,1,7,18,10,19,Win,D,"[7, 3, 9]",2,2,
37,,2,7,18,14,17,Loss,HS,"[5, 9, 3]",1,-1,
38,,0,10,21,16,22,Bust,H,"[6, 'Q', 6]",1,-1,
38,,1,10,21,20,20,Loss,S,"['Q', 10]",1,-1,
38,,2,10,21,20,20,Loss,S,"['K', 10]",1,-1,
39,,0,10,19,16,20,Win,HS,"[6, 'Q', 4]",1,1,
39,,1,10,19,13,23,Bust,H,"[9, 4, 'Q']",1,-1,
39,,2,10,19,19,19,Push,S,"[8, 'A']",1,0,
40,,0,3,19,16,16,Loss,S,"['K', 6]",1,-1,
40,,1,3,19,16,16,Loss,S,"['J', 6]",1,-1,
40,,2,3,19,14,14,Loss,PS,"[6, 8]",1,-1,
40,,2,3,19,14,14,Loss,S,"[6, 8]",1,-1,
